speckey,xxScientific Name,Taxonomic System
1148027,xxSticherus,Botany
1148035,xxCallistopteris baldwinii,Botany
1147303,xxBucegia,Botany
1147305,xxPreissia,Botany
1147308,xxRiccia,Botany
1147311,xxAneuraceae,Botany
1147315,xxPeltolepis,Botany
1147397,xxLepidodendron cf. latifolium,Botany
1147409,xxLepidolphloios sp.,Botany
1147421,xxSigillaria sp.,Botany
1147426,xxStigmaria sp.,Botany
1147428,xxSyringodendron sp.,Botany
1148196,xxPolypodium lineare,Botany
1147613,xxAsplenium,Botany
1147630,xxAsplenium viride,Botany
1147640,xxAthyrium angustum,Botany
1147641,xxAthyrium asplenoides,Botany
1147647,xxAthyrium filix-femina cyclosorum,Botany
1147649,xxAthyrium japonicum,Botany
1147652,xxAthyrium pycnocarpum,Botany
1147709,xxThelypteris,Botany
1147725,xxBlechnum occidentalis,Botany
1148064,xxMarsilea,Botany
1147666,xxDiplazium,Botany
1147740,xxLorinseria areolata,Botany
1147743,xxSadleria,Botany
1147747,xxStenochlaena,Botany
1148178,xxMicrogramma,Botany
1148180,xxMicrosorium,Botany
1148518,xxOsmunda sp.,Botany
1184545,xxAchnatherum richardsonii,Botany
1185700,xxMicranthes foliolosa,Botany
1185587,xxJuncus ensifolius var. ensifolius,Botany
1169911,xxFestuca rubra subsp. richardsonii,Botany
1166919,xxGoniophlebium triseriale,Botany
1167223,xxArnica frigida,Botany
