Collection,ID Number,Verbatim object name,Type,Taxonomy Name(s)
Bryophyte,CANM 273925,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 210754,Sphagnum recurvum var. tenue,previous name,Sphagnum angustifolium
Bryophyte,CANM 104966,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 104965,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 211126,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 211125,Sphagnum recurvum var. tenue,original identification,Sphagnum angustifolium
Bryophyte,CANM 104904,Sphagnum recurvum var. tenue,original identification,Sphagnum wulfianum
Bryophyte,CANM 106197,Sphagnum recurvum var. tenue,original identification,Sphagnum wulfianum
Bryophyte,CANM 106195,Sphagnum recurvum var. tenue,original identification,Sphagnum wulfianum
Bryophyte,CANM 106196,Sphagnum recurvum var. tenue,original identification,Sphagnum wulfianum
Bryophyte,CANM 106198,Sphagnum recurvum var. tenue,original identification,Sphagnum wulfianum
Bryophyte,CANM 3035,Frullana mayebarae Hatt.,previous scientific name,Frullania mayebarae
Bryophyte,CANM 10789,Frullana mayebarae Hatt.,previous scientific name,Frullania mayebarae
Bryophyte,CANM 456276,Sphagnum capilliforme var. tenellum (Schimp.) Crum,previous scientific name,Sphagnum rubellum
Bryophyte,CANM 232930,Grimmia arctolimnia Steere,previous scientific name,Coscinodon arctolimnius
Bryophyte,CANM 226826,Originally determined as G. trichophylla Grev.,previous scientific name,Grimmia muehlenbeckii
Bryophyte,CANM 197612,Mnium nudum Britt. & Williams,previous scientific name,Rhizomnium nudum
Bryophyte,CANM 124628,Molendoa sendtneriana (B.S.G.) Limpr. var. limprichtii Gyorffy,previous scientific name,""
Bryophyte,CANM 197847,Brachythecium pseudocollinum Kindb. in Mac. & Kindb.,type name,Brachythecium salebrosum
Bryophyte,CANM 197865,Brachythecium velutinum (Hedw.) B.S.G. ssp. curvirameun Kindb.,type name,Brachythecium reflexum
Bryophyte,CANM 197866,Brachythecium velutinum (Hedw.) B.S.G. ssp. curvirameun Kindb.,type name,Brachythecium reflexum
Bryophyte,CANM 197875,Bryum capillare Hedw. var. brevicuspidatum Kindb. in Mac. & Kindb.,previous scientific name,Bryum capillare subsp. capillare var. brevicuspidatum
Bryophyte,CANM 197882,Bryum cucullatiforme Kindb.,type name,Pohlia obtusifolia
Bryophyte,CANM 197317,Hygroamblystegium irriguum f. marianopolitana Dupret,previous scientific name,Hygroamblystegium tenax
Bryophyte,CANM 265702,Hylocomium splendens (Hedw.) B.S.G. ssp. giganteum Perss. ex Vitt,previous scientific name,Calliergon giganteum
Bryophyte,CANM 197620,Oreoweisia subintegra Broth. & Ther. in Ther.,previous scientific name,""
Bryophyte,CANM 152820,Orthotrichum juranum v. defluens Culm.,type name,Orthotrichum cupulatum var. juranum
Bryophyte,CANM 279237,Oxystegus tenuirostre,original identification,Trichostomum tenuirostre
Bryophyte,CANM 288097,Oxystegus tenuirostre,original identification,Trichostomum tenuirostre
Bryophyte,CANM 287933,Oxystegus tenuirostre,original identification,Trichostomum tenuirostre
Bryophyte,CANM 278922,Oxystegus tenuirostre,original identification,Trichostomum tenuirostre
Bryophyte,CANM 264961,Oxystegus tenuirostre,previous name,Trichostomum tenuirostre
Bryophyte,CANM 204400,Oxystegus tenuirostre,previous name,Trichostomum tenuirostre
Bryophyte,CANM 306432,Oxystegus tenuirostre,original identification,Trichostomum tenuirostre
Bryophyte,CANM 278862,Oxystegus tenuirostre,previous name,Trichostomum tenuirostre
Bryophyte,CANM 318407,Oxystegus tenuirostre,original identification,Trichostomum tenuirostre
Bryophyte,CANM 292910,Oxystegus tenuirostre,original identification,Trichostomum tenuirostre
Bryophyte,CANM 277642,Oxystegus tenuirostre,original identification,Trichostomum tenuirostre | Pohlia filiformis
Bryophyte,CANM 277684,Oxystegus tenuirostre,original identification,Trichostomum tenuirostre
Bryophyte,CANM 22052,Cephalozia lanulifolia (Dum.) Dum.,previous scientific name,Cephalozia lunulifolia | Mylia anomala
Palynology,CMNPYM02191,Fissidens adiantoides,scientific name,xxFissidens adiantoides
Bryophyte,CANM 108831,Fissidens adiantoides,original identification,Fissidens adianthoides
Bryophyte,CANM 328116,Fissidens adiantoides,original identification,Fissidens dubius
Bryophyte,CANM 197175,Fontinalis dalecarlica Schimp. ex B.S.G. var. macounii Card. ex Ren. & Card.,previous scientific name,Fontinalis dalecarlica
Bryophyte,CANM 286859,Grimmia apocarpum,previous identification,Schistidium dupretii
Bryophyte,CANM 198115,Homalothecium corticola Kindb. in Mac. & Kindb.,previous scientific name,Homalothecium nevadense
Bryophyte,CANM 197923,Bryum pallescens Schleich. ex Schwaegr. var. grande Kindb.,previous scientific name,Bryum pseudotriquetrum var. bimum
Bryophyte,CANM 197925,Bryum pallescens Schleich. ex Schwaegr. var. laxifolium Kindb. in Mac.,type name,Bryum boreale
Bryophyte,CANM 197934,Bryum pseudotriquetrum var. hyalodontium C. M>ll. & Kindb. in Mac. & Kindb.,previous scientific name,Bryum pseudotriquetrum
Bryophyte,CANM 6172,Lejeunea cardotii Steph.,previous scientific name,Lejeunea cardoti
Bryophyte,CANM 6417,Nardia macounii Underw.,previous scientific name,""
Bryophyte,CANM 9251,Scapania nemorosa var. intermedia Husn.,previous scientific name,Scapania undulata | Scapania undulata var. undulata
Bryophyte,CANM 199516,Ulota subulifolia C. Müll. & Kindb. in Mac. & Kindb. ora,type name,Ulota megalospora
Bryophyte,CANM 198333,Webera ludwigii v. microphylla Kindb. in Mac. & Kindb.,type name,Pohlia ludwigii
Bryophyte,CANM 17046,Plagiochila cleefii Inoue,previous scientific name,""
Bryophyte,CANM 10532,Riccardia multifida ssp. synoica Schust,previous scientific name,""
Bryophyte,CANM 10522,Riccia treubiana var. subrubescens Schiffn.,previous scientific name,""
Bryophyte,CANM 8886,Riella ballandieri Trabut,previous scientific name,Riella battandieri
Bryophyte,CANM 2623,Drepanolejeunea bidens Schust. ssp. appalachiana,previous scientific name,Drepanolejeunea appalachiana
Bryophyte,CANM 10530,Frullana inconstans Verd.,previous scientific name,Frullania inconstans
Bryophyte,CANM 10427,Frullana nodulosa f. irreflexa Verd.,previous scientific name,Frullania nodulosa f. irreflexa
Bryophyte,CANM 286859,Grimmia apocarpa var. stricta,original identification,Schistidium dupretii
Bryophyte,CANM 198146,Hypnum pseudodrepanium C.Mull. & Kindb. in Mac. & Kindb.,type name,Hypnum lindbergii
Bryophyte,CANM 176603,Calliergon sarmentosum Kar. var. flagellaris Karcz.,previous scientific name,Sarmenthypnum sarmentosum var. sarmentosum
Bryophyte,CANM 197459,Dicranolom phillipsiae Bartr.,previous scientific name,Dicranoloma phillipsiae
Bryophyte,CANM 117966,Dichodontium pellucidum var. fagimontanum (Brid.) Schimp.,previous scientific name,Dichodontium pellucidum
Bryophyte,CANM 197677,Rhachithecium perpusillum,scientific name,Rhacithecium perpusillum
Bryophyte,CANM 212140,Drepanocladus exannulatus (B.S.G.) Warnst. f. pseudotrichophyllus F.J. Herm.,previous scientific name,Drepanocladus exannulatus var. exannulatus f. pseudotrichophyllus
Bryophyte,CANM 147895,Drepanophyllum duidense Williams,previous scientific name,Phyllodrepanium falcifolium
Bryophyte,CANM 197482,Ectropothecium robbinsi Bartr.,previous scientific name,Ectropothecium robbinsii
Bryophyte,CANM 197491,Endotrichella robbinsii Bartr.,previous scientific name,Garovaglia robbinsii
Bryophyte,CANM 143150,Bryum capillare Hedw. var. pulvinatum Warnst.,previous scientific name,Bryum capillare subsp. capillare var. pulvinatum
Bryophyte,CANM 197394,Bryum knowltoni Barnes,previous scientific name,Bryum knowltonii
Bryophyte,CANM 102073,Sphagnum acutufolium v. flavicomans Card.,type name,Sphagnum flavicomans
