speckey,scientific_name,collection,rank,ancestors,catalog_count
1114204,Crocosmia,Botany,GENUS,Plantae | Magnoliophyta | Liliopsida | Liliidae | Liliales | Iridaceae,0
1094039,Croton lobatus,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Euphorbiales | Euphorbiaceae | Croton,1
1140445,Croton lobatus,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Euphorbiales | Euphorbiaceae | xxCroton,1
1095878,Cryptotaenia,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Apiales | Apiaceae,0
1145996,Cryptotaenia,Botany,GENUS,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxRosidae | Umbellales | xxUmbelliferae,0
1090889,Cynometra,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Fabales | Fabaceae,0
1143353,Cynometra,Botany,GENUS,"Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Rosales | xxLeguminosae | Caesalpinioideae, Detarieae",0
1143270,Dialium,Botany,GENUS,"Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Rosales | xxLeguminosae | Caesalpinioideae, Cassieae",0
1142991,Dialium,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Rosales | xxLeguminosae | Caesalpinioideae,0
1097380,Dichondra,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Asteridae | Solanales | Convolvulaceae,0
1133974,Dichondra,Botany,GENUS,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxAsteridae | Polemoniales | xxConvolvulaceae,0
1130238,Dieffenbachia,Botany,GENUS,Plantae | Anthophyta | xxLiliatae | xxArecidae | xxArales | xxAraceae,0
1108987,Dieffenbachia,Botany,GENUS,Plantae | Magnoliophyta | Liliopsida | Arecidae | Arales | Araceae,0
1080319,Diphylleia,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Magnoliidae | Ranunculales | Berberidaceae,0
1139707,Diphylleia,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Magnoliidae | Ranunculales | Podophyllaceae,0
1091085,Diphysa,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Fabales | Fabaceae,0
1143773,Diphysa,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Rosales | xxLeguminosae | Papilionoideae,0
1094871,Dodonaea,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Sapindales | Sapindaceae,0
1145569,Dodonaea,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Sapindales | Sapindaceae,0
1022072,Dogielinotidae,Zoology,FAMILY,Animalia | Arthropoda | Crustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Talitrida | Talitroidea,0
1191082,Dogielinotidae,Zoology,FAMILY,Animalia | Arthropoda | Crustacea | Malacostraca | Eumalacostraca | Peracarida | Amphipoda | Gammaridea | Talitrida | Talitroidea,0
1190984,Dothideomycetidae,Botany,SUBCLASS,Chitinous Fungi | Ascomycota | Pezizomycotina | Dothideomycetes,0
1183806,Dothideomycetidae,Botany,SUBCLASS,Chitinous Fungi | Ascomycota | Pezizomycotina | Sordariomycetes,0
1108990,Dracontium,Botany,GENUS,Plantae | Magnoliophyta | Liliopsida | Arecidae | Arales | Araceae,0
1130242,Dracontium,Botany,GENUS,Plantae | Anthophyta | xxLiliatae | xxArecidae | xxArales | xxAraceae,0
1087835,Dudleya,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Rosales | Crassulaceae,0
1142706,Dudleya,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Rosidae | Rosales | Crassulaceae,0
1081540,Echinocereus,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Caryophyllidae | Caryophyllales | Cactaceae,0
1135504,Echinocereus,Botany,GENUS,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxCaryophyllidae | xxCaryophyllales | xxCactaceae,0
1079137,Ephedra antisyphilitica,Botany,SPECIES,Plantae | Ephedraceae | Ephedra,1
